ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
KAZ,Kazakhstan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,005.04","11,552.57","12,300.18","13,789.17","12,713.56","10,435.17","7,662.01","8,970.88","9,401.21","9,139.11","9,672.00","10,291.50","11,007.94","12,048.58","12,992.77",2018
KEN,Kenya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,038.95","1,054.98","1,238.88","1,318.79","1,431.32","1,453.30","1,522.29","1,683.95","1,830.59","1,997.55","2,151.50","2,294.24","2,454.60","2,632.60","2,814.87",2013
KIR,Kiribati,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,518.57","1,741.14","1,798.26","1,731.38","1,655.86","1,556.50","1,598.89","1,641.57","1,640.68","1,574.70","1,614.10","1,658.45","1,703.72","1,752.86","1,807.16",2017
KOR,Korea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,087.23","25,096.26","25,466.76","27,182.74","29,249.58","28,732.23","29,296.05","31,577.35","33,319.99","31,430.60","31,246.04","32,565.53","34,107.06","35,754.69","37,576.37",2018
KOS,Kosovo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,290.46","3,764.22","3,582.01","3,885.73","4,098.92","3,637.44","3,766.22","4,027.27","4,432.56","4,442.36","4,649.33","4,944.81","5,261.46","5,592.01","5,961.59",0
KWT,Kuwait,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","32,216.41","41,657.44","45,726.19","44,754.34","40,278.05","27,398.08","25,267.15","26,863.33","30,969.44","29,266.98","28,882.72","28,874.95","29,109.22","29,585.76","30,257.04",2016
KGZ,Kyrgyz Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",884.846,"1,131.47","1,189.52","1,295.23","1,292.62","1,132.84","1,131.84","1,254.51","1,293.46","1,292.98","1,337.27","1,385.18","1,445.56","1,492.42","1,539.10",2018
LAO,Lao P.D.R.,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,200.87","1,412.04","1,581.90","1,830.51","1,997.99","2,130.63","2,324.94","2,454.87","2,565.98","2,670.21","2,919.07","3,131.70","3,357.82","3,599.17","3,856.49",2018
LVA,Latvia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,223.02","13,735.62","13,762.16","14,951.88","15,680.89","13,587.69","14,071.74","15,654.43","18,032.62","18,171.65","19,104.84","20,359.19","21,625.02","22,913.65","24,321.46",2018
LBN,Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,858.28","8,734.19","8,996.56","8,882.80","8,619.26","8,540.39","8,530.36","8,778.47","9,251.21","9,654.81","10,042.78","10,598.52","11,254.03","12,037.10","12,830.13",2012
LSO,Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,309.59","1,431.87","1,358.87","1,273.88","1,330.37","1,166.54","1,207.21","1,324.83","1,333.43","1,338.52","1,357.78","1,424.87","1,505.42","1,551.57","1,598.29",2016
LBR,Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",550.36,640.709,707.708,777.479,777.021,764.411,772.393,754.663,727.8,703.826,688.281,681.558,699.714,694.964,719.202,2016
LBY,Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,417.42","5,402.25","12,693.64","8,282.15","3,876.41","2,719.95","2,903.74","4,738.59","6,287.65","5,019.58","5,129.19","5,216.50","5,373.26","5,565.27","5,781.45",2014
LTU,Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,006.36","14,374.02","14,349.44","15,698.48","16,571.43","14,299.10","14,988.57","16,845.33","18,994.38","19,266.79","20,355.00","21,708.62","23,066.81","24,437.92","25,936.96",2018
LUX,Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","106,177.04","117,366.28","108,050.23","114,996.48","120,449.50","101,665.02","102,360.22","105,725.45","115,536.21","113,196.49","116,727.21","120,536.83","124,467.08","128,454.28","132,701.61",2018
MAC,Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","50,921.11","65,867.58","73,937.75","84,859.86","86,997.50","70,133.00","70,278.05","77,414.52","81,728.23","81,151.93","80,065.20","79,926.00","80,625.73","81,457.04","82,582.30",2018
MDG,Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",414.145,456.329,444.958,462.46,452.81,400.348,406.411,447.569,459.257,463.869,490.906,517.049,542.152,568.86,597.009,2010
MWI,Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",442.765,493.843,359.588,317.471,343.979,353.507,294.755,325.01,349.938,370.747,385.677,397.619,412.6,429.866,448.037,2011
MYS,Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,047.20","10,398.24","10,806.84","10,851.66","11,165.26","9,663.11","9,523.30","9,960.32","11,072.39","11,136.81","11,484.51","12,172.16","12,875.42","13,629.33","14,468.32",2018
MDV,Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,086.67","8,078.26","8,719.53","9,766.15","10,787.47","11,781.09","12,447.19","13,510.17","14,571.31","15,562.51","16,620.42","17,677.99","18,802.69","19,974.12","21,134.11",2014
MLI,Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",732.402,861.874,801.102,827.335,872.028,772.639,802.399,854.149,926.542,924.178,967.139,"1,008.99","1,053.56","1,099.14","1,139.61",2017
MLT,Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","21,148.92","22,911.84","22,070.03","24,032.63","26,328.80","24,373.19","25,419.81","27,730.11","30,608.50","30,650.17","32,019.43","33,762.21","35,583.94","37,473.92","39,545.45",2018
MHL,Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,180.50","3,302.32","3,497.43","3,590.89","3,444.55","3,363.37","3,652.92","3,822.16","3,878.67","3,924.83","4,001.13","4,072.08","4,122.22","4,168.32","4,198.34",2016
MRT,Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,322.34","1,537.26","1,513.10","1,618.22","1,488.79","1,303.46","1,235.17","1,268.88","1,319.27","1,392.46","1,426.84","1,481.06","1,596.57","1,688.41","1,780.57",2014
MUS,Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,000.38","9,197.04","9,291.24","9,637.02","10,151.73","9,258.56","9,681.42","10,485.01","11,228.11","11,360.67","11,720.62","12,472.83","13,314.45","14,127.60","14,957.30",2018
MEX,Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,258.20","10,204.51","10,261.05","10,764.33","10,980.99","9,673.64","8,815.54","9,366.66","9,796.98","10,118.17","10,405.79","10,767.50","11,150.18","11,563.56","12,007.79",2018
FSM,Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,885.87","3,032.45","3,192.67","3,095.86","3,112.86","3,080.33","3,241.26","3,548.96","3,634.18","3,718.00","3,815.82","3,916.65","4,014.52","4,114.84","4,217.66",2018
MDA,Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,959.63","2,364.74","2,446.30","2,669.23","2,675.04","2,174.33","2,273.16","2,726.54","3,190.83","3,300.09","3,470.19","3,668.93","3,883.75","4,109.53","4,357.17",2018
MNG,Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,602.37","3,702.36","4,281.33","4,293.83","4,081.02","3,842.54","3,576.82","3,595.38","4,017.22","4,132.66","4,363.90","4,614.25","4,873.86","5,097.63","5,303.68",2014
MNE,Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,693.87","7,327.25","6,590.58","7,189.05","7,389.89","6,517.42","7,031.53","7,800.27","8,762.68","8,703.93","9,115.79","9,604.44","10,149.11","10,733.83","11,339.72",2018
MAR,Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,896.56","3,111.54","2,979.74","3,200.48","3,259.72","2,964.96","2,996.65","3,147.85","3,365.52","3,345.03","3,464.02","3,656.24","3,860.79","4,079.38","4,315.81",2018
MOZ,Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",429.948,524.891,589.818,604.999,619.907,528.934,379.004,426.091,474.508,484.405,521.831,544.285,564.38,614.671,681.947,2015
MMR,Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",800.245,"1,080.00","1,156.90","1,187.52","1,230.53","1,219.48","1,156.89","1,166.04","1,299.73","1,244.73","1,350.83","1,467.31","1,591.54","1,726.12","1,875.23",2015
NAM,Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,410.98","5,870.93","6,038.86","5,793.93","5,717.76","5,160.20","4,854.15","5,725.18","6,012.73","5,842.06","5,963.03","6,122.63","6,350.89","6,635.70","6,865.73",2018
NRU,Nauru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,748.08","6,529.40","9,382.64","9,103.52","8,865.60","6,994.05","7,674.48","8,152.26","8,562.25","8,270.26","8,369.12","8,439.98","8,552.78","8,729.98","8,913.32",2016
NPL,Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",592.369,703.044,698.466,715.89,743.099,792.553,777.148,911.444,"1,033.91","1,047.74","1,176.58","1,275.69","1,376.05","1,477.14","1,582.53",2015
NLD,Netherlands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","51,165.82","54,342.11","50,175.56","52,276.99","53,026.48","45,302.80","46,165.18","48,799.87","53,228.27","52,367.85","53,873.37","55,998.95","58,102.28","60,250.66","62,696.24",2018
NZL,New Zealand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","33,222.09","37,985.40","39,553.55","41,775.71","43,858.15","37,743.24","38,982.50","41,381.81","41,204.71","40,634.14","42,084.40","43,901.15","45,801.06","47,614.93","49,547.28",2018
NIC,Nicaragua,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,506.07","1,629.97","1,734.79","1,790.43","1,916.77","2,036.93","2,099.59","2,165.17","2,030.50","1,919.17","1,869.62","1,842.63","1,828.00","1,825.76","1,839.44",2017
NER,Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",347.985,374.823,390.331,414.516,428.442,362.717,366.058,376.623,414.328,405.095,427.445,446.238,490.903,514.091,542.902,2009
NGA,Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,328.43","2,543.50","2,756.41","2,998.06","3,222.68","2,726.34","2,180.27","1,971.79","2,032.86","2,222.01","2,400.45","2,602.02","2,830.00","3,074.98","3,346.39",2012
MKD,North Macedonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,576.23","5,174.89","4,728.37","5,239.65","5,498.61","4,860.42","5,152.97","5,449.06","6,100.40","6,096.49","6,414.66","6,820.09","7,242.94","7,687.87","8,182.43",2018
NOR,Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","87,356.19","100,197.17","101,129.87","102,576.71","96,657.58","74,115.18","70,223.84","75,306.64","81,549.98","77,975.43","78,333.22","79,878.62","81,395.03","83,077.62","84,994.94",2017
OMN,Oman,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,774.80","22,726.64","23,282.20","21,920.15","21,814.15","18,243.81","16,332.37","17,045.15","18,969.99","17,791.03","17,723.15","17,899.53","17,812.76","17,870.85","18,019.41",2018
PAK,Pakistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,031.65","1,218.34","1,254.17","1,266.74","1,312.43","1,424.95","1,439.63","1,543.99","1,565.43","1,388.24",n/a,n/a,n/a,n/a,n/a,2018
PLW,Palau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,033.82","10,762.29","11,986.97","12,838.75","14,006.77","15,875.44","16,782.10","15,995.09","16,195.28","16,736.10","17,378.10","17,936.26","18,476.13","19,032.24","19,605.09",2018
PAN,Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,039.76","9,314.69","10,674.49","11,841.89","12,756.95","13,606.60","14,356.45","15,198.07","15,642.82","16,245.45","17,148.32","18,076.61","19,070.83","20,119.74","21,226.32",2018
PNG,Papua New Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,132.19","2,552.04","2,865.78","2,800.17","2,992.71","2,742.92","2,567.58","2,705.58","2,751.71","2,742.27","2,725.81","2,721.33","2,745.52","2,787.34","2,835.90",2014
PRY,Paraguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,347.21","5,298.45","5,151.37","5,882.78","6,050.04","5,353.08","5,259.94","5,609.85","5,934.18","5,692.18","5,904.86","6,280.57","6,614.18","6,959.24","7,273.86",2018
PER,Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,055.04","5,738.13","6,400.40","6,631.33","6,565.41","6,141.43","6,173.23","6,729.93","7,007.17","7,046.79","7,316.97","7,645.56","7,997.91","8,370.17","8,762.90",2017
PHL,Philippines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,155.41","2,379.94","2,591.63","2,768.47","2,849.27","2,882.77","2,953.29","2,989.13","3,104.22","3,294.47","3,484.90","3,714.03","4,008.76","4,328.90","4,673.78",2017
POL,Poland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,601.92","13,886.83","13,158.07","13,777.30","14,342.83","12,565.74","12,427.65","13,871.68","15,425.68","14,901.55","15,988.04","17,021.10","18,107.91","19,289.98","20,572.77",2018
PRT,Portugal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","22,539.04","23,213.11","20,576.83","21,653.51","22,109.32","19,252.01","19,986.36","21,482.86","23,437.39","23,030.79","23,731.13","24,727.89","25,744.80","26,788.05","27,920.05",2018
PRI,Puerto Rico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,435.74","27,278.85","27,944.74","28,513.15","28,981.34","29,755.35","30,585.55","31,590.97","31,603.41","31,538.17","32,100.40","32,647.40","33,213.79","33,808.21","34,380.38",2018
QAT,Qatar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","72,953.44","96,827.86","101,933.12","99,180.39","93,054.14","66,346.91","57,965.38","62,826.06","70,379.49","69,687.55","70,736.88","72,554.05","75,624.63","78,964.17","83,263.49",2017
ROU,Romania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,190.57","9,081.72","8,518.92","9,537.82","10,004.88","8,950.46","9,538.93","10,761.71","12,269.84","12,482.97","13,414.49","14,398.64","15,455.17","16,542.17","17,685.87",2018
RUS,Russia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,446.59","14,319.68","15,276.30","15,953.13","14,069.10","9,261.68","8,722.89","10,750.81","11,289.44","11,162.65","11,305.12","11,704.55","12,183.61","12,728.11","13,314.54",2018
RWA,Rwanda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",584.957,651.628,707.583,709.834,727.969,736.378,734.822,773.847,786.531,824.927,873.332,928.264,992.544,"1,063.88","1,140.55",2012
WSM,Samoa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,430.86","3,939.70","4,233.33","4,219.07","4,178.98","4,149.36","4,015.21","4,258.34","4,323.26","4,500.75","4,735.06","4,873.80","5,026.54","5,188.35","5,353.48",2016
SMR,San Marino,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","60,426.24","57,512.89","50,336.19","51,986.53","51,234.87","43,068.69","44,308.67","45,887.69","48,948.13","47,279.93","47,932.21","49,249.46","50,472.51","51,644.54","52,931.88",2017
STP,São Tomé and Príncipe,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,107.87","1,273.07","1,342.71","1,569.41","1,763.38","1,569.51","1,673.47","1,768.10","1,943.49","1,933.38","2,036.12","2,151.52","2,283.09","2,412.72","2,552.75",2011
SAU,Saudi Arabia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,163.34","23,654.87","25,208.16","24,892.99","24,929.32","21,063.31","20,288.92","21,113.96","23,538.94","22,865.18","22,533.26","22,569.95","22,924.51","23,401.28","23,985.55",2017
SEN,Senegal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,257.65","1,345.70","1,301.54","1,343.16","1,361.35","1,186.93","1,235.11","1,320.62","1,441.43","1,427.87","1,494.31","1,596.81","1,716.19","1,916.45","2,058.04",2017
SRB,Serbia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,673.62","6,809.94","6,012.63","6,752.80","6,598.94","5,585.12","5,756.38","6,284.20","7,223.00","7,397.69","7,991.58","8,676.37","9,393.78","10,167.29","10,903.38",2018
SYC,Seychelles,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,805.10","11,647.02","11,999.90","14,762.22","14,701.37","14,786.12","15,218.51","15,915.52","16,574.68","17,052.23","17,178.63","18,180.24","19,023.26","19,865.26","20,661.90",2015
SLE,Sierra Leone,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",410.595,457.917,578.302,731.066,721.558,599.574,522.355,503.347,539.205,546.645,557.073,569.681,587.668,610.801,634.903,2017
SGP,Singapore,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,236.67","53,891.46","55,547.55","56,967.43","57,564.80","55,645.61","56,722.27","60,296.79","64,578.77","63,987.07","64,829.22","66,949.98","69,597.89","72,466.19","75,631.87",2018
SVK,Slovak Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,633.53","18,227.83","17,295.01","18,205.63","18,668.68","16,197.77","16,564.77","17,629.16","19,579.31","19,547.66","20,494.63","21,722.21","22,903.70","24,079.68","25,308.92",2018
SVN,Slovenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,570.18","25,156.14","22,674.49","23,516.53","24,263.96","20,898.91","21,640.27","23,498.09","26,145.65","26,170.25","27,452.32","29,061.98","30,573.06","32,111.09","33,732.46",2017
SLB,Solomon Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,293.86","1,733.71","1,935.74","2,010.29","2,042.09","1,971.55","2,052.82","2,092.14","2,197.25","2,246.72","2,338.31","2,444.29","2,552.91","2,683.81","2,810.10",2015
SOM,Somalia,"Gross domestic product per capita, current prices",U.S. dollars,Units,,,,,,,,,,,,,,,,,
ZAF,South Africa,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,311.74","7,997.07","7,487.85","6,824.45","6,429.83","5,731.73","5,266.88","6,119.89","6,353.85","6,100.35","6,193.17","6,331.80","6,493.32","6,663.57","6,846.99",2018
SSD,South Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,"1,644.74","1,041.46","1,337.23","1,309.95","1,225.19",281.507,273.137,353.165,275.184,243.267,244.003,278.36,270.374,265.582,2008
ESP,Spain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,801.28","31,875.79","28,584.38","29,237.32","29,686.72","25,849.69","26,681.57","28,381.06","30,733.17","29,961.11","30,734.12","31,937.23","33,092.26","34,267.61","35,572.01",2018
LKA,Sri Lanka,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,807.66","3,212.76","3,349.78","3,608.29","3,818.40","3,842.25","3,885.76","4,104.33","4,099.12","3,946.59","4,152.21","4,411.56","4,688.42","4,987.48","5,318.72",2017
KNA,St. Kitts and Nevis,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,776.44","15,726.39","15,224.90","15,791.92","15,483.41","15,690.94","16,356.50","17,007.81","17,512.58","18,245.90","19,023.75","19,748.40","20,442.88","21,208.67","22,005.82",2015
LCA,St. Lucia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,447.61","8,640.21","8,515.02","8,690.24","9,031.64","9,521.04","9,678.11","10,246.58","10,754.86","11,075.92","11,619.21","12,139.70","12,600.29","12,963.41","13,337.00",2015
VCT,St. Vincent and the Grenadines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,224.21","6,171.18","6,318.68","6,569.84","6,622.44","6,867.60","7,033.58","7,187.57","7,353.72","7,750.79","8,080.90","8,427.13","8,785.58","9,162.22","9,553.02",2016
SDN,Sudan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,637.42","2,034.46","1,396.29","1,462.58","1,628.50","1,698.08","1,403.15","1,126.55",816.543,714.295,759.706,745.728,735.699,728.412,722.017,2011
SUR,Suriname,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,224.07","8,190.70","9,194.15","9,351.96","9,379.00","8,439.17","5,498.94","5,260.04","5,798.16","6,310.95","6,875.92","7,113.62","7,592.02","7,860.97","8,166.34",2016
SWE,Sweden,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","52,607.40","60,397.85","57,653.11","60,616.49","59,528.90","51,126.77","51,599.45","53,412.28","54,356.07","51,241.91","51,892.08","53,960.65","56,436.49","59,106.56","62,108.69",2018
CHE,Switzerland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","74,885.00","88,902.89","83,958.73","85,673.43","87,159.83","82,511.34","80,629.21","80,763.57","83,161.90","83,716.81","86,673.50","89,370.25","92,190.42","95,121.59","98,276.19",2017
SYR,Syria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,806.69",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
TWN,Taiwan Province of China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,261.67","20,911.64","21,269.61","21,887.99","22,638.92","22,373.56","22,572.70","24,389.68","25,007.75","24,827.90","25,525.81","26,861.07","28,324.43","29,870.22","31,483.80",2018
TJK,Tajikistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",738.287,834.52,949.648,"1,040.15","1,105.20",919.073,795.981,800.802,825.77,877.34,910.982,950.945,989.379,"1,024.01","1,061.87",2014
TZA,Tanzania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",732.315,768.16,867.857,970.348,"1,030.74",947.897,966.29,"1,002.87","1,039.74","1,104.79","1,159.30","1,213.63","1,273.88","1,341.56","1,413.84",2012
THA,Thailand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,174.53","5,600.65","5,979.22","6,296.19","6,079.69","5,967.67","6,113.42","6,730.56","7,448.12","7,791.95","8,193.82","8,668.99","9,187.82","9,744.16","10,257.18",2018
TLS,Timor-Leste,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,782.96","5,263.59","6,044.52","4,992.18","3,491.60","2,610.36","2,065.22","2,005.28","2,163.53","2,262.84","2,356.91","2,253.93","2,120.29","2,301.82","2,500.95",2015
TGO,Togo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",527.786,579.67,565.022,613.624,633.068,563.759,587.598,615.671,670.323,671.4,713.653,761.592,811.963,865.34,923.414,2016
