ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
BTN,Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,998.77","2,382.11","2,445.20","2,451.85","2,387.79","2,604.81","2,680.46","2,937.51","3,160.06","3,423.05","3,533.20","3,786.92","4,028.31","4,310.65","4,593.28",2015
BOL,Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,994.91","2,394.79","2,664.57","2,920.52","3,096.84","3,050.65","3,094.99","3,368.76","3,565.50","3,670.96","3,860.62","4,090.25","4,354.61","4,644.58","4,983.39",2012
BIH,Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,611.35","5,050.03","4,716.64","5,036.03","5,194.01","4,584.26","4,808.30","5,155.55","5,754.74","5,741.76","6,009.57","6,322.16","6,662.60","7,037.41","7,468.04",2018
BWA,Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,374.99","7,503.96","7,710.80","7,007.25","7,497.70","6,538.62","6,958.34","7,584.05","7,973.14","7,859.18","8,116.17","8,453.24","8,584.93","8,725.10","8,863.21",2016
BRA,Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,327.37","13,295.66","12,426.58","12,357.40","12,175.96","8,845.67","8,751.18","9,926.29","8,958.58","8,796.91","8,955.65","9,344.11","9,738.00","10,167.44","10,606.46",2016
BRN,Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","35,437.22","47,092.30","47,772.21","44,860.43","41,947.16","31,355.74","27,318.05","28,236.77","30,668.37","27,871.45","28,396.71","28,714.65","29,303.13","29,827.56","30,413.91",2018
BGR,Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,743.74","7,836.58","7,399.39","7,667.59","7,888.56","7,017.41","7,496.08","8,275.44","9,313.83","9,518.44","10,133.07","10,887.50","11,650.90","12,445.46","13,316.36",2018
BFA,Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",576.478,667.596,674.21,700.234,704.984,575.604,582.987,643.786,715.769,717.962,757.613,802.158,848.54,897.111,949.687,2018
BDI,Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",231.549,247.097,250.118,267.696,296.186,294.496,298.006,312.463,306.966,309.87,312.732,315.731,323.712,335.157,347.177,0
CPV,Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,312.83","3,670.43","3,408.48","3,558.80","3,535.39","2,996.79","3,083.54","3,244.55","3,578.66","3,598.63","3,808.15","4,044.51","4,302.43","4,572.78","4,867.49",2017
KHM,Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",781.912,877.635,951.077,"1,013.44","1,093.80","1,165.06","1,270.98","1,385.93","1,504.26","1,620.64","1,730.88","1,848.25","1,975.82","2,113.67","2,259.78",2012
CMR,Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,282.37","1,402.98","1,357.15","1,471.21","1,552.47","1,338.60","1,377.85","1,441.55","1,555.67","1,514.60","1,553.75","1,623.26","1,700.81","1,786.67","1,882.44",2010
CAN,Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,627.32","52,285.94","52,744.03","52,708.61","51,020.69","43,626.43","42,439.65","45,217.03","46,290.22","46,212.84","47,931.46","50,066.62","52,269.46","54,608.46","57,071.60",2018
CAF,Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",492.078,548.966,555.404,366.867,403.23,353.807,373.3,415.652,448.74,447.992,471.938,503.055,535.352,568.548,604.346,2004
TCD,Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,046.82","1,162.73","1,155.55","1,180.36","1,241.00",946.877,860.51,827.149,884.815,861.246,909.686,967.144,"1,030.20","1,069.84","1,122.36",2004
CHL,Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,793.55","14,610.75","15,307.77","15,804.34","14,643.86","13,572.07","13,775.84","15,075.25","15,901.73","15,399.24","15,854.65","16,619.15","17,437.82","18,290.36","19,172.78",2017
CHN,China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,524.06","5,582.89","6,329.46","7,080.83","7,701.69","8,166.76","8,115.83","8,677.40","9,580.24","10,098.87","10,872.50","11,773.10","12,718.79","13,723.67","14,811.79",2018
COL,Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,285.20","7,264.11","7,950.37","8,103.47","7,998.83","6,088.68","5,799.62","6,325.49","6,641.51","6,508.13","6,744.01","7,053.53","7,381.73","7,729.02","8,096.64",2018
COM,Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,322.64","1,450.16","1,403.42","1,500.73","1,505.18","1,259.83","1,274.44","1,304.77","1,391.38","1,349.79","1,392.94","1,445.07","1,494.87","1,546.66","1,602.22",2015
COD,Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",288.015,334.393,368.393,398.627,425.329,435.979,409.046,407.705,495.635,500.554,511.604,520.923,534.258,550.676,565.022,1983
COG,Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,363.89","3,951.72","3,556.02","3,561.11","3,492.50","2,067.09","1,835.81","2,054.53","2,617.52","2,534.49","2,464.87","2,391.24","2,280.66","2,239.22","2,244.35",2017
CRI,Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,264.20","9,260.86","10,054.53","10,632.95","10,679.13","11,422.60","11,779.24","11,810.18","12,039.11","12,014.80","12,690.59","13,214.90","13,758.79","14,331.70","14,946.58",2018
CIV,Côte d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,193.21","1,199.68","1,220.33","1,388.02","1,528.19","1,397.30","1,450.92","1,527.83","1,680.97","1,691.31","1,793.70","1,919.65","2,045.78","2,160.53","2,280.76",2015
HRV,Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,550.44","14,575.90","13,249.45","13,664.97","13,610.80","11,779.01","12,367.80","13,382.06","14,870.42","14,949.76","15,645.78","16,605.60","17,297.84","18,317.62","19,372.27",2018
CYP,Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","31,260.14","32,699.81","29,066.92","27,825.18","27,273.65","23,248.20","24,119.72","25,957.85","28,341.05","27,719.69","28,626.57","30,014.18","31,383.73","32,713.45","34,190.40",2018
